Date,Open,High,Low,Close,Adj Close,Volume
2015-04-21,3872.340088,3884.879883,3856.830078,3862.149902,3862.149902,0
2015-04-22,3864.080078,3885.600098,3850.780029,3881.929932,3881.929932,0
2015-04-23,3880.919922,3905.379883,3873.520020,3891.459961,3891.459961,0
2015-04-24,3891.229980,3906.189941,3891.229980,3900.239990,3900.239990,0
2015-04-27,3903.199951,3915.370117,3880.669922,3884.100098,3884.100098,0
2015-04-28,3883.399902,3897.570068,3858.800049,3895.209961,3895.209961,0
2015-04-29,3891.290039,3893.419922,3863.570068,3880.899902,3880.899902,0
2015-04-30,3878.629883,3878.629883,3827.179932,3841.780029,3841.780029,0
2015-05-01,3845.229980,3883.750000,3845.229980,3883.750000,3883.750000,0
2015-05-04,3887.320068,3907.070068,3887.320068,3895.159912,3895.159912,0
2015-05-05,3892.100098,3896.870117,3847.570068,3849.409912,3849.409912,0
2015-05-06,3854.169922,3867.139893,3811.270020,3833.699951,3833.699951,0
2015-05-07,3834.310059,3858.110107,3825.149902,3849.129883,3849.129883,0
2015-05-08,3856.830078,3903.889893,3856.830078,3901.010010,3901.010010,0
2015-05-11,3900.800049,3904.669922,3880.550049,3881.929932,3881.929932,0
2015-05-12,3877.610107,3881.649902,3845.750000,3870.689941,3870.689941,0
2015-05-13,3872.459961,3891.959961,3865.879883,3870.360107,3870.360107,0
2015-05-14,3874.399902,3913.080078,3874.399902,3912.520020,3912.520020,0
2015-05-15,3914.770020,3918.030029,3905.070068,3915.989990,3915.989990,0
2015-05-18,3913.570068,3932.899902,3911.209961,3928.149902,3928.149902,0
2015-05-19,3929.409912,3935.969971,3920.310059,3926.409912,3926.409912,0
2015-05-20,3926.760010,3939.459961,3917.280029,3923.179932,3923.179932,0
2015-05-21,3923.179932,3939.250000,3918.419922,3932.899902,3932.899902,0
2015-05-22,3932.100098,3935.399902,3924.159912,3924.159912,3924.159912,0
2015-05-26,3922.899902,3922.899902,3874.629883,3883.879883,3883.879883,0
2015-05-27,3886.239990,3925.129883,3886.239990,3920.110107,3920.110107,0
2015-05-28,3918.550049,3918.550049,3901.199951,3915.820068,3915.820068,0
2015-05-29,3915.679932,3915.679932,3886.560059,3891.179932,3891.179932,0
2015-06-01,3893.879883,3913.280029,3882.610107,3899.590088,3899.590088,0
2015-06-02,3897.350098,3910.610107,3876.610107,3895.850098,3895.850098,0
2015-06-03,3898.500000,3919.300049,3896.689941,3904.830078,3904.830078,0
2015-06-04,3901.719971,3902.719971,3866.409912,3871.229980,3871.229980,0
2015-06-05,3870.000000,3880.879883,3852.659912,3865.830078,3865.830078,0
2015-06-08,3865.570068,3866.810059,3841.320068,3841.449951,3841.449951,0
2015-06-09,3841.159912,3853.219971,3828.389893,3843.159912,3843.159912,0
2015-06-10,3845.199951,3895.770020,3845.199951,3889.699951,3889.699951,0
2015-06-11,3892.750000,3908.899902,3892.750000,3897.590088,3897.590088,0
2015-06-12,3895.189941,3895.189941,3865.429932,3870.560059,3870.560059,0
2015-06-15,3865.530029,3865.530029,3830.709961,3852.750000,3852.750000,0
2015-06-16,3852.489990,3876.739990,3848.500000,3874.729980,3874.729980,0
2015-06-17,3876.860107,3894.219971,3861.629883,3882.489990,3882.489990,0
2015-06-18,3885.100098,3931.360107,3885.100098,3921.429932,3921.429932,0
2015-06-19,3921.050049,3922.060059,3899.510010,3900.639893,3900.639893,0
2015-06-22,3905.280029,3937.370117,3905.280029,3924.409912,3924.409912,0
2015-06-23,3925.310059,3934.290039,3919.260010,3927.229980,3927.229980,0
2015-06-24,3925.750000,3929.000000,3898.469971,3898.469971,3898.469971,0
2015-06-25,3901.179932,3912.399902,3886.070068,3887.040039,3887.040039,0
2015-06-26,3888.300049,3899.949951,3874.919922,3886.209961,3886.209961,0
2015-06-29,3881.300049,3881.300049,3803.709961,3805.500000,3805.500000,0
2015-06-30,3812.300049,3836.469971,3803.310059,3815.850098,3815.850098,0
2015-07-01,3823.979980,3853.090088,3823.979980,3843.260010,3843.260010,0
2015-07-02,3844.379883,3857.360107,3831.649902,3842.060059,3842.060059,0
2015-07-06,3836.949951,3845.429932,3808.260010,3827.350098,3827.350098,0
