,sixtyforty,riskparity
2019-07-03,307.6392641830442,317.6714080657958
2019-07-05,306.64474767303443,315.4643191680907
2019-07-08,305.73574105072,314.82239396667467
2019-07-09,305.9366592941282,314.9564987335204
2019-07-10,306.46908626556365,314.85712918090803
2019-07-11,306.11054827117886,313.2102438583372
2019-07-12,306.9850369186398,314.07377726745585
2019-07-15,307.37798738861056,314.9813571472166
2019-07-16,306.6201482467648,314.03513650512673
2019-07-17,306.01549370574924,314.59022032165507
2019-07-18,306.6771314926144,315.1647833709715
2019-07-19,305.5387569808957,313.9533380584715
2019-07-22,306.089775260925,314.615796936035
2019-07-23,317.054747123718,324.8946664733885
2019-07-24,318.22294145965554,326.363014953613
2019-07-25,317.006771720886,324.8041749114988
2019-07-26,318.4294875411985,326.2756030426024
2019-07-29,318.1004362106321,326.0274089355468
2019-07-30,317.78624785613994,326.0229058227538
2019-07-31,316.21427111053447,325.55400633239736
2019-08-01,315.84808684539775,327.4180803985595
2019-08-02,315.0466772994993,327.7663874816894
2019-08-05,310.61482183074935,325.9299778442382
2019-08-06,313.6725545578001,329.460211654663
2019-08-07,313.80442766571025,329.61419682312
2019-08-08,317.5279832687376,333.0438819885253
2019-08-09,316.12582964324935,331.6143428955077
2019-08-12,315.2900174484251,333.3135541229247
2019-08-13,317.89036699676495,335.13050521850573
2019-08-14,313.9646911544798,334.4291228332518
2019-08-15,315.2233633956908,336.84356747436516
2019-08-16,317.3126611251829,337.6535939788817
2019-08-19,318.5056696701048,336.9455978240966
2019-08-20,317.8077737350462,337.5807678375243
2019-08-21,328.8332586593627,347.6553319244384
2019-08-22,328.31182946014394,346.4163476867675
2019-08-23,324.6970129318236,345.2780504913329
2019-08-26,326.40665282440176,346.25128495788573
2019-08-27,326.7745500411986,348.4170125579833
2019-08-28,328.14586473846424,349.7458197937011
2019-08-29,330.21205565643294,351.04854234313956
2019-08-30,330.1490523605346,351.02772187805175
2019-09-03,329.1580699386596,350.33826683044435
2019-09-04,331.3547852096557,352.39749684143067
2019-09-05,332.7090093002318,351.47182975769033
2019-09-06,333.32699199676506,352.8402088012695
2019-09-09,332.26503078460684,349.83561570739744
2019-09-10,331.0903846359252,346.7948110046387
2019-09-11,332.41019777679435,347.7660909729003
2019-09-12,332.6995026779174,347.2898917999267
2019-09-13,331.22593648529045,343.6096415252685
2019-09-16,331.37921987152095,345.1314315490722
2019-09-17,332.2294706039428,346.48278857421866
2019-09-18,332.6160562667846,347.2955131530762
2019-09-19,332.7911747055053,347.785318710327
2019-09-20,332.66118370819083,349.14355657958987
2019-09-23,342.6001789474487,359.06554580688476
2019-09-24,341.7802319564819,359.7003949432373
2019-09-25,342.0246293258666,358.2445407714843
2019-09-26,342.0126071701049,358.958661453247
2019-09-27,341.08398827362055,358.4139229278564
2019-09-30,342.1708962326049,359.6565384063721
2019-10-01,339.96878774261467,358.0468123931885
2019-10-02,336.61096230316156,355.3483900604247
2019-10-03,338.80196517181395,358.3365455322266
2019-10-04,341.95041207122796,361.98228471374506
2019-10-07,340.5441299362182,359.76978273010246
2019-10-08,337.63182503509523,357.49833993530274
2019-10-09,339.1223299484252,358.1658663940429
2019-10-10,339.49185109710686,356.77811907958977
2019-10-11,340.76305608367915,356.5012070922851
2019-10-14,340.99803096771234,357.52339823913564
2019-10-15,342.2170448226928,357.2400572357177
2019-10-16,341.96777602386476,357.1546211242674
2019-10-17,342.40672731781,357.2470087585448
2019-10-18,341.50610964202883,356.4638068542479
2019-10-21,342.38198418426515,356.33187023925774
2019-10-22,352.1038839340209,366.7793855285644
2019-10-23,352.77037294769286,367.47811816406244
2019-10-24,352.97050363922114,367.41387324523913
2019-10-25,353.48399649810784,367.28169514465316
2019-10-28,354.0373292770385,366.690550994873
2019-10-29,354.0194369888305,366.75160289001457
2019-10-30,355.6405301437377,369.8719809875486
2019-10-31,356.0018663864135,371.78619335937475
2019-11-01,357.7214096603393,372.9115669860837
2019-11-04,357.66187899017325,371.28258197021455
2019-11-05,356.664847831726,369.0855412902829
2019-11-06,357.1190674057006,370.18816983032207
2019-11-07,356.6383864364623,367.63877416992165
2019-11-08,356.8820385513305,367.36473497009257
2019-11-11,356.52045435333247,367.12702137756327
2019-11-12,357.27066001129134,368.30800218200653
2019-11-13,357.7699774551391,369.4924651336667
2019-11-14,358.769198234558,371.5634959716794
2019-11-15,360.23582263946525,372.7110252227782
2019-11-18,360.5162431259155,373.1680327148436
2019-11-19,361.0170449142455,374.58397640991194
2019-11-20,360.92408480072015,375.7307889709471
2019-11-21,370.149767967224,384.30717898559556
2019-11-22,370.7122452468871,384.949797805786
2019-11-25,372.56968828582757,386.91460415649397
2019-11-26,373.45902002716065,388.3871028900145
2019-11-27,374.22090753936766,388.70009895324694
2019-11-29,373.22934134674074,387.5656018676756
2019-12-02,370.3350716934204,383.33681811523417
