,uniform,onlystocks,sixtyforty,riskparity_nested
2018-12-10,421111.00993458886,427014.82877485274,531722.262563623,372928.30328862276
2018-12-11,421227.10057459556,427208.7927856839,531264.2203457027,372377.1489067418
2018-12-12,420329.1657696876,431510.938094112,532717.292570059,371461.52201605897
2018-12-13,421210.94597340527,431218.4421919605,532096.0658205594,371831.57093466044
2018-12-14,416825.5821214038,415294.5739922391,521387.4137978996,370160.9958423004
2018-12-17,412633.9698149221,399000.62453457614,511205.24227778194,369650.1211761991
2018-12-18,412112.84403776564,398125.6335704228,512383.989052565,370532.93135959003
2018-12-19,411817.6097009176,386201.8915521453,507213.48122757487,371119.0596248142
2018-12-20,410330.9848046175,373629.55481693667,496823.09635431634,371677.7449591232
2018-12-21,405716.9943457099,358319.38770160644,485649.9960414467,369485.70081159583
2018-12-24,401201.62577515515,339384.92719062633,473299.93658793456,369078.54931336135
2018-12-26,407202.4833854304,373677.3741076864,495218.1040628283,369696.6124125269
2018-12-27,409993.14379879483,379414.77572670754,500044.53795443894,372448.7348768589
2018-12-28,412492.2005434012,378435.95682989404,502355.3428362622,375674.8723852098
2018-12-31,415722.18660023937,385064.8860817536,508936.525566226,378286.20738836244
2019-01-02,416246.5538501311,385865.9757729063,511187.0813630397,379086.76354674523
2019-01-03,418332.5764727229,367451.3423912371,501931.13057781087,383388.3381240385
2019-01-04,420155.3060950135,392065.96340091736,515611.7670817673,380798.6426440512
2019-01-07,421035.79342403647,398248.22848343,518895.10498980497,380601.78963425354
2019-01-08,422779.31649551296,405731.1751393469,523282.57298081066,380400.3884677493
2019-01-09,425637.46278491593,409523.2971391773,525861.4158793761,382195.4131121511
2019-01-10,424638.04151070584,412412.3373637811,526445.0343125454,380913.2040629751
2019-01-11,425666.8631115216,412730.9921208762,528203.2645877723,382399.8072143478
2019-01-14,421978.1022777613,407695.1871835832,523517.75851436076,380580.50631381344
2019-01-15,424191.88566776237,417039.7094629212,529406.625105222,381031.5697736899
2019-01-16,425930.78028185526,419057.81331886357,530992.8603534938,382028.0594557643
2019-01-17,427018.1821948212,425416.11900286673,535349.0858738032,381940.79932922503
2019-01-18,427083.33967390587,436740.07334924745,541869.142289645,379925.6483564083
2019-01-22,426728.32317665615,424939.5237375295,535380.8379270094,381363.2454722328
2019-01-23,427313.7992085753,426717.81751807174,536498.4278830484,381456.2064201786
2019-01-24,429437.0911170341,427171.22610386304,538986.1474307228,383278.2514147099
2019-01-25,431588.765329984,434400.01662393636,542749.5632198614,384793.5728366023
2019-01-28,429325.1186081229,427797.1161105867,537707.2945500852,384291.43807291845
2019-01-29,432546.7268857126,426661.87727541645,538626.3931692796,387178.33329016727
2019-01-30,437815.6939729731,440169.9345599204,549185.5440430333,391200.6102293617
2019-01-31,443143.200587982,447901.0947456184,557879.9119145399,395299.6447586575
2019-02-01,441314.3480840345,448332.4414432902,555718.1690291184,393095.7482799648
2019-02-04,440882.3860339913,454640.4019968188,559050.9125338035,392134.6703947532
2019-02-05,442970.0921981543,458451.872333192,563286.0358258821,394044.4988738672
2019-02-06,441834.18525754625,457243.21450965776,562644.1821851048,392987.42426167475
2019-02-07,442559.7800556393,448526.1174281888,558181.6319327418,393985.0801319076
2019-02-08,444936.5744281477,449621.85480009695,560237.7757604558,395999.17447790405
2019-02-11,442685.83330347855,450120.37237964984,559414.5587652317,393945.2363509621
2019-02-12,445424.4372652308,461696.39665177854,567326.6852793467,395627.0749113325
2019-02-13,444481.9065586265,464694.4302827189,568229.98790816,394363.64041158993
2019-02-14,446899.8918877752,462632.9539500576,568918.8924346984,397081.47426977527
