,uniform,onlystocks,sixtyforty,riskparity,benchmark
1995-07-28,337722.8726499686,632756.0568149604,605949.4550488711,280091.8705107572,286599.99999999994
1995-07-31,336408.8807303414,630851.7999378941,600665.7214337117,280221.8118537254,286180.00519999996
1995-08-01,336745.6870598536,625386.2014307901,601772.1816595849,279384.3762422307,284952.0019999999
1995-08-02,333508.30452531786,623721.8985642085,596110.7504517714,277950.57195176615,284584.00879999995
1995-08-03,335184.00963898026,623901.8901823625,598357.5507250383,279169.6802747173,284635.98639999994
1995-08-04,335603.0996828312,624362.7861956877,599396.0153724918,279329.31985527,284752.0019999999
1995-08-07,335879.3216546925,626877.1766025788,601255.5191787056,279482.18480520404,285335.98639999994
1995-08-08,335245.336762232,627761.058645186,599565.8159955405,279652.9865943561,285547.99799999985
1995-08-09,334290.8949657747,626375.3391733392,596392.2132250987,279377.8430747607,285243.9943999999
1995-08-10,332494.17993835907,621598.817062743,591645.2314114025,278139.41122805903,284167.99319999997
1995-08-11,332520.0186027753,616560.8391667346,589411.729569132,277899.4283047399,283028.0032
1995-08-14,334345.8459588506,626906.1432119532,597591.2855544251,278492.3326667651,285411.98759999993
1995-08-15,336516.2797719281,624414.105354527,598432.0317914719,280573.9075547535,284856.00599999994
1995-08-16,334267.7175062272,627805.0811602275,599249.0665465211,277652.40485909703,285639.99039999995
1995-08-17,335779.93153452023,625733.643988142,598140.3349448186,279570.85659698426,285180.00519999996
1995-08-18,338083.7295589922,626212.3910733819,601092.7132566295,280772.62084042974,285299.99999999994
1995-08-21,338686.73635346093,623739.6321153011,597799.8730103661,281641.07806672406,284747.99799999985
1995-08-22,338041.11119060783,626900.4067813612,598205.8289933623,281321.4665490977,285480.00519999996
1995-08-23,341089.7329680985,621701.9494379634,601995.0652141823,282070.92376105196,284308.0079999999
1995-08-24,346279.54099550867,622406.7779313587,611108.7057423792,284458.323684661,284480.00519999996
1995-08-25,348523.5873423992,628278.3100293451,617971.5417947943,285603.942749284,285832.0067999999
1995-08-28,346395.7197796037,625889.875123741,614069.7199714364,284345.34081117745,285299.99999999994
1995-08-29,347964.3545713776,628142.1379039335,618008.138743869,285183.7097922589,285823.9991999999
1995-08-30,350116.3389515245,630574.1391533739,623770.0439230436,285807.8956460037,286387.9883999999
1995-08-31,354226.56193104066,632781.6297982334,629537.531210863,288167.5986408308,286899.99999999994
1995-09-01,356977.1265119872,637181.9702463548,635483.1978967538,289487.9184507416,287908.0079999999
1995-09-04,356340.2560503945,637181.9702463548,635483.1978967538,288822.4232237872,287908.0079999999
1995-09-05,358030.9325549734,649391.8282313043,641514.6524677167,290668.4463466436,290676.0011999999
1995-09-06,356609.46388804883,651881.1780681375,641323.7052589091,290012.40813976934,291243.9943999999
1995-09-07,356485.4027601822,652189.3792598604,640851.103225023,290086.87406948046,291323.9991999999
1995-09-08,358284.90601760265,657622.6313344825,644968.7851936317,291505.91133257496,292547.99799999985
1995-09-11,362781.7787345662,660450.9366869421,654333.1979407102,293266.29207200604,293187.9883999999
1995-09-12,363770.4059134364,666404.5720179506,656561.5229126897,294416.2201401365,294519.99519999995
1995-09-13,369338.79947016196,672221.4092292662,667843.3105706251,297612.1199466439,295815.9911999999
1995-09-14,369449.3405271263,683447.1996503401,671846.1898008959,298474.69285559875,298295.9964
1995-09-15,366063.42964932753,682789.3951247748,665136.5355807513,297216.1378920387,298163.9891999999
1995-09-18,368957.52918070456,681857.0775684771,668970.2554982364,298392.1071441164,297971.9971999999
1995-09-19,370464.8765683348,685174.9391921415,673825.5893423805,298958.66300411656,298708.0079999999
1995-09-20,364712.59753047756,691217.7850053504,667565.610441768,296889.45198253944,300035.98639999994
1995-09-21,361750.8190062803,682350.2145245144,660155.9669063581,294743.04054513015,298123.9991999999
1995-09-22,360596.1951098245,679329.8104090799,658683.8153684707,293784.9881700229,297476.0011999999
1995-09-25,360426.82813552755,679460.3020280648,658273.2399774735,293432.6272704816,297515.9911999999
1995-09-26,360044.72928971687,678475.7286098889,656906.9630654767,293422.99053326814,297311.98759999993
1995-09-27,360450.18308636395,678222.636171584,657425.5161526103,293704.5225299934,297267.99319999997
1995-09-28,367659.84720149165,689474.7581637417,673614.1680310498,297371.7083739993,299743.9943999999
1995-09-29,367385.0155281971,685997.1689837585,671959.3586435466,297061.344156261,298999.99999999994
1995-10-02,369128.8040726782,679663.7871584165,671231.6553833744,297465.92887846293,297632.0067999999
1995-10-03,369153.55752580217,681110.2539866646,674179.7287148894,297232.691115745,297959.98559999996
1995-10-04,369459.35621261527,679246.4450002209,674677.9688257098,297293.6383430749,297563.98919999995
1995-10-05,368115.4362627232,682373.4281572634,676172.2490287124,297086.533495888,298259.98559999996
1995-10-06,368021.342909737,682119.5243096016,676023.7064580094,296923.6606188894,298215.99119999993
1995-10-09,368937.5950897583,672418.4543627622,670282.7351126574,297670.69141258823,296108.008
1995-10-10,368533.6738154462,670385.4053497647,668546.4997052229,297695.7594658068,295671.9972
1995-10-11,370065.05934208387,675034.3837330993,674258.008260808,298022.80643736315,296708.008
1995-10-12,375912.1214892932,683505.0300049019,689599.6818540822,299833.8545042503,298580.0052
1995-10-13,375698.9706158766,686750.6597676727,689026.3110266315,299904.5009480529,299300.0
1995-10-16,376203.33799305547,683226.597887904,688625.9768244565,299854.0494042649,298543.99439999997
1995-10-17,375238.5946474819,691966.776098265,691800.5023119953,299604.49104128743,300463.98919999995
1995-10-18,376413.71776208305,693720.1554136719,694600.1372272993,300140.11807464884,300856.006
1995-10-19,374298.14332848485,701270.8963971701,695239.7319009968,298883.34668424877,302504.00399999996
1995-10-20,372382.4421253697,693664.7402676529,687422.377967464,298153.873830619,300876.00119999994
